City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,Birjand,IR,75.56,clear sky,32.8663,59.2211,Birjand Tourist Hotel
228,Praia Da Vitoria,PT,70.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
230,Robertsport,LR,76.96,light rain,6.7533,-11.3686,Kwepunha Retreat
234,Wilmington,US,79.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
235,Tulum,MX,77.59,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
237,Chulym,RU,78.21,scattered clouds,55.0997,80.9572,"""U Tat'yany"""
239,Vila Franca Do Campo,PT,74.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
241,Maragogi,BR,72.34,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
245,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
247,Rabo De Peixe,PT,73.27,scattered clouds,37.8,-25.5833,Quinta das Giestas
253,Atbasar,KZ,79.52,scattered clouds,51.8,68.3333,Гостиничный Комплекс Saad
256,Serebryansk,KZ,78.75,broken clouds,49.6925,83.2892,"Gostinitsa ""Vodoley"""
257,Bridgend,GB,70.75,clear sky,51.5058,-3.5772,Best Western Heronston Hotel & Spa
260,Flic En Flac,MU,73.53,broken clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
267,San Ignacio,BZ,72.34,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
268,Pidhorodne,UA,72.7,light rain,48.5753,35.1068,Комфорт
269,Angoche,MZ,73.76,clear sky,-16.2325,39.9086,Guest House HESADA
273,Mindelo,CV,75.6,scattered clouds,16.8901,-24.9804,Hotel Gaudi
275,Batabano,CU,75.81,broken clouds,22.7164,-82.2881,
280,Wajir,KE,72.93,broken clouds,1.7471,40.0573,Mahatallah Hotel
282,Touros,BR,73.58,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
289,Makinsk,KZ,77.85,clear sky,52.6292,70.4169,Bereke
294,Bakel,SN,79.43,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
296,Saint-Pierre,RE,73.08,few clouds,-21.3393,55.4781,Alize Plage
297,Tiznit,MA,75.42,few clouds,29.5833,-9.5,
302,Soloneshnoye,RU,72.52,scattered clouds,51.6544,84.3197,Gostinitsa Al'tair
303,Homa Bay,KE,70.61,overcast clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
305,Bimbo,CF,71.53,overcast clouds,4.2567,18.4158,
306,Sukhoy Log,RU,70.38,few clouds,56.9094,62.0296,Provincia Hotel
309,Aleksandrovka,UA,79.23,broken clouds,46.8383,32.7612,
310,Otwock,PL,72.14,scattered clouds,52.1058,21.2613,"Holiday Inn Resort Warsaw - Jozefow, an IHG Hotel"
314,Golfito,CR,73.94,overcast clouds,8.639,-83.166,Banana Bay Marina
315,Kutum,SD,71.83,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
318,Barra Do Corda,BR,72.9,scattered clouds,-5.5,-45.25,Belchior Palace Hotel
326,Eatonton,US,73.38,scattered clouds,33.3268,-83.3885,Western Motel of Eatonton
329,San Lawrenz,MT,78.21,clear sky,36.0553,14.204,San Andrea Hotel
331,Montepuez,MZ,70.81,broken clouds,-13.1256,38.9997,PembaAparthotel
334,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
336,Sanford,US,79.99,clear sky,28.8006,-81.2731,Best Western Plus Sanford Airport/Lake Mary Hotel
338,Souillac,MU,71.02,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
340,Sinnamary,GF,76.57,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
343,Nkhotakota,MW,72.54,broken clouds,-12.9274,34.2961,Sitima Inn
351,Venice,US,79.0,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
356,Lagos,NG,75.04,overcast clouds,6.5833,3.75,
357,Ovada,IT,77.34,overcast clouds,44.6384,8.6453,Belforte
358,Damara,CF,71.22,overcast clouds,4.9608,18.7035,
362,Mandera,KE,76.8,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
364,Hilton Head Island,US,77.99,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
367,Cannington,AU,70.77,clear sky,-32.0167,115.95,Bentley Motel
370,Littleton,US,79.48,broken clouds,39.6133,-105.0166,InTown Suites Extended Stay Denver CO - Englewood
372,Kuznetsk,RU,72.28,clear sky,53.1167,46.6004,Kuznetsk
