City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Moose Factory,CA,51.2585,-80.6094,48.4,67,11,3.87,few clouds
163,Umm Kaddadah,SD,13.6017,26.6876,75.72,76,100,8.68,light rain
164,Olinda,BR,-8.0089,-34.8553,74.93,83,40,4.61,scattered clouds
165,Adrar,MR,20.5022,-10.0711,89.22,39,2,8.77,clear sky
166,Ponta Delgada,PT,37.7333,-25.6667,74.5,83,40,12.66,scattered clouds
167,San Ramon,US,37.7799,-121.978,63.39,84,0,6.91,clear sky
168,Rocha,UY,-34.4833,-54.3333,46.0,95,2,5.88,clear sky
169,Kasongo-Lunda,CD,-6.4667,16.8167,68.22,29,85,1.97,overcast clouds
170,Asfi,MA,32.2994,-9.2372,69.4,87,1,15.12,clear sky
171,Saint George,US,37.1041,-113.5841,83.62,55,0,10.36,clear sky
172,Togur,RU,58.3631,82.8265,66.65,42,18,6.13,few clouds
173,Rawson,AR,-43.3002,-65.1023,48.6,64,75,10.27,broken clouds
174,Louis Trichardt,ZA,-23.0439,29.9032,64.71,50,0,1.97,clear sky
175,Atar,MR,20.5169,-13.0499,88.5,47,81,8.12,broken clouds
176,Coihaique,CL,-45.5752,-72.0662,37.42,100,100,2.17,moderate rain
177,Kibungo,RW,-2.1597,30.5427,65.32,45,87,6.11,overcast clouds
178,Ludwigsfelde,DE,52.3,13.2667,73.18,55,0,4.61,clear sky
179,Kamenka,RU,51.3223,42.7678,80.46,49,7,12.91,clear sky
180,Benghazi,LY,32.1167,20.0667,80.31,67,0,3.42,clear sky
181,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,91,20,5.75,few clouds
182,Sombrio,BR,-29.1139,-49.6167,57.94,95,24,3.8,few clouds
183,Kidal,ML,18.4411,1.4078,80.04,63,42,13.56,scattered clouds
184,Bam,IR,29.106,58.357,84.45,13,3,24.54,clear sky
185,Tenenkou,ML,14.4572,-4.9169,79.93,75,84,7.49,broken clouds
186,Chastyye,RU,57.2888,54.9728,69.08,55,98,12.06,overcast clouds
187,Harper,LR,4.375,-7.7169,75.4,81,100,11.01,overcast clouds
188,Chissamba,AO,-12.1667,17.3333,56.03,28,34,3.56,scattered clouds
189,Taperoa,BR,-7.2075,-36.8267,65.01,95,15,5.97,few clouds
190,Jumla,NP,29.2747,82.1838,78.66,55,9,5.46,clear sky
191,Saurimo,AO,-9.6608,20.3916,60.82,30,34,6.51,scattered clouds
192,Tabou,CI,4.423,-7.3528,75.47,84,100,9.91,overcast clouds
193,Bud,US,39.447,-86.1758,66.16,89,0,7.09,clear sky
194,Lebu,CL,-37.6167,-73.65,50.59,91,100,12.46,overcast clouds
195,Luderitz,NA,-26.6481,15.1594,55.04,84,5,8.59,clear sky
196,Halifax,CA,44.6453,-63.5724,65.52,94,92,4.0,light rain
197,Omboue,GA,-1.5746,9.2618,71.46,85,92,4.41,overcast clouds
198,Sorland,NO,67.667,12.6934,51.66,71,75,14.97,broken clouds
199,Codrington,AU,-38.2667,141.9667,52.63,83,98,6.22,overcast clouds
200,Kokologo,BF,12.1897,-1.8856,75.99,83,100,4.36,light rain
201,El Rosario,MX,24.2556,-107.1828,76.28,82,88,2.24,overcast clouds
202,Paamiut,GL,61.994,-49.6678,43.72,70,1,7.16,clear sky
203,Valparaiso,CL,-33.0393,-71.6273,52.48,100,75,3.44,broken clouds
204,Hattiesburg,US,31.3271,-89.2903,74.44,100,0,3.44,fog
205,Castro,BR,-24.7911,-50.0119,44.04,99,16,5.26,few clouds
206,Mogadishu,SO,2.0371,45.3438,77.49,74,80,17.65,broken clouds
207,Lyngdal,NO,58.1376,7.07,60.89,87,3,4.38,clear sky
208,Goderich,CA,43.7501,-81.7165,67.91,75,0,12.19,clear sky
209,Casablanca,MA,33.5928,-7.6192,71.82,86,27,10.6,scattered clouds
210,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,100,100,3.44,overcast clouds
211,Kushmurun,KZ,52.4503,64.6311,73.08,61,97,15.41,overcast clouds
212,Huarmey,PE,-10.0681,-78.1522,61.68,86,20,7.87,few clouds
213,Malindi,KE,-3.2175,40.1191,76.08,78,53,16.8,light rain
214,Alnavar,IN,15.4333,74.7333,77.9,82,100,20.22,overcast clouds
215,Mwinilunga,ZM,-11.7358,24.4293,61.56,37,64,6.33,broken clouds
216,Necochea,AR,-38.5473,-58.7368,45.1,83,0,10.38,clear sky
217,Kinchil,MX,20.9167,-89.95,76.05,94,27,3.0,scattered clouds
218,Liverpool,GB,53.4106,-2.9779,65.61,83,0,5.75,clear sky
219,Soyo,AO,-6.1349,12.3689,69.94,82,87,5.7,overcast clouds
220,Thompson,CA,55.7435,-97.8558,59.04,84,41,6.13,scattered clouds
221,Tabuk,PH,17.4189,121.4443,87.94,68,78,3.38,broken clouds
222,Yar-Sale,RU,66.8333,70.8333,55.4,78,100,20.0,overcast clouds
223,Dubrovnik,HR,42.6481,18.0922,76.64,43,0,14.97,clear sky
224,Blagoyevo,RU,63.3667,47.9167,62.55,78,94,10.67,overcast clouds
225,Jemnice,CZ,49.019,15.5699,64.22,70,37,7.52,scattered clouds
226,Husavik,IS,66.0449,-17.3389,48.74,82,89,8.57,overcast clouds
227,Birjand,IR,32.8663,59.2211,75.56,21,0,16.06,clear sky
228,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,94,49,8.19,scattered clouds
229,Taminango,CO,1.5749,-77.2867,58.98,79,66,3.2,broken clouds
230,Robertsport,LR,6.7533,-11.3686,76.96,85,94,11.16,light rain
231,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.12,89,100,14.25,light rain
232,Richards Bay,ZA,-28.783,32.0377,69.71,61,23,14.9,few clouds
233,Pavilosta,LV,56.8879,21.1859,64.31,68,27,10.49,scattered clouds
234,Wilmington,US,34.2257,-77.9447,79.86,67,0,6.91,clear sky
235,Tulum,MX,20.2167,-87.4667,77.59,91,39,4.63,scattered clouds
236,Anapolis,BR,-16.3267,-48.9528,52.27,41,80,4.63,broken clouds
237,Chulym,RU,55.0997,80.9572,78.21,38,30,9.33,scattered clouds
238,Muros,ES,42.7762,-9.0603,65.16,93,3,2.42,clear sky
239,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,90,86,6.33,overcast clouds
240,Rundu,NA,-17.9333,19.7667,57.88,24,1,0.83,clear sky
241,Maragogi,BR,-9.0122,-35.2225,72.34,89,0,3.51,clear sky
242,Skarnes,NO,60.2528,11.6797,59.81,75,5,1.39,clear sky
243,Riachao Das Neves,BR,-11.7461,-44.91,68.41,40,1,3.44,clear sky
244,Coquimbo,CL,-29.9533,-71.3436,53.33,76,100,2.3,overcast clouds
245,Salalah,OM,17.0151,54.0924,77.09,100,100,6.91,overcast clouds
246,Havoysund,NO,70.9963,24.6622,52.03,91,100,39.08,light rain
247,Rabo De Peixe,PT,37.8,-25.5833,73.27,80,40,12.66,scattered clouds
248,Venado Tuerto,AR,-33.7456,-61.9688,47.77,87,8,9.4,clear sky
249,Sao Sebastiao,BR,-23.76,-45.4097,62.4,84,61,2.93,broken clouds
250,Kalmunai,LK,7.4167,81.8167,87.64,58,89,5.64,overcast clouds
251,Marquette,US,46.5333,-87.6335,54.36,76,0,3.53,clear sky
252,Kudahuvadhoo,MV,2.6708,72.8944,82.08,75,93,4.41,overcast clouds
253,Atbasar,KZ,51.8,68.3333,79.52,43,43,6.62,scattered clouds
254,La Palma,US,33.8464,-118.0467,81.91,76,0,4.61,clear sky
255,Bosaso,SO,11.2842,49.1816,92.8,42,100,14.81,overcast clouds
256,Serebryansk,KZ,49.6925,83.2892,78.75,38,51,1.95,broken clouds
257,Bridgend,GB,51.5058,-3.5772,70.75,61,0,4.0,clear sky
258,Nuuk,GL,64.1835,-51.7216,43.41,87,44,12.66,scattered clouds
259,Willowmore,ZA,-33.2926,23.4895,52.52,50,100,15.59,overcast clouds
260,Flic En Flac,MU,-20.2742,57.3631,73.53,62,79,19.48,broken clouds
261,Kajaani,FI,64.2273,27.7285,57.25,67,0,14.97,clear sky
262,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,50.22,94,24,6.22,few clouds
263,Narsaq,GL,60.9167,-46.05,46.62,68,15,6.71,few clouds
264,Porto Velho,BR,-8.7619,-63.9039,69.85,88,0,1.14,clear sky
265,Vestmannaeyjar,IS,63.4427,-20.2734,52.05,88,100,18.81,overcast clouds
266,Rauma,FI,61.1272,21.5113,64.44,78,3,9.48,clear sky
267,San Ignacio,BZ,17.1561,-89.0714,72.34,99,32,1.43,scattered clouds
268,Pidhorodne,UA,48.5753,35.1068,72.7,64,100,14.27,light rain
269,Angoche,MZ,-16.2325,39.9086,73.76,71,0,3.06,clear sky
270,Lobito,AO,-12.3481,13.5456,68.54,83,97,1.72,overcast clouds
271,Budogoshch,RU,59.2816,32.4707,66.67,67,82,8.14,broken clouds
272,Joensuu,FI,62.6012,29.7632,61.29,72,0,6.91,clear sky
273,Mindelo,CV,16.8901,-24.9804,75.6,80,35,17.47,scattered clouds
274,Skopelos,GR,39.1247,23.7247,80.01,65,20,6.91,few clouds
275,Batabano,CU,22.7164,-82.2881,75.81,90,61,10.92,broken clouds
276,Verkhoshizhemye,RU,58.011,49.1038,67.08,56,99,10.11,overcast clouds
277,Pampierstad,ZA,-27.7832,24.6877,57.38,34,48,12.03,scattered clouds
278,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,9.22,scattered clouds
279,Mollendo,PE,-17.0231,-72.0147,58.23,88,39,6.96,scattered clouds
280,Wajir,KE,1.7471,40.0573,72.93,73,83,18.92,broken clouds
281,Kruisfontein,ZA,-34.0033,24.7314,50.88,88,100,6.85,overcast clouds
282,Touros,BR,-5.1989,-35.4608,73.58,87,35,9.55,scattered clouds
283,Yokadouma,CM,3.5167,15.05,69.93,91,97,2.39,overcast clouds
284,Doha,QA,25.2867,51.5333,100.38,41,7,4.61,dust
285,Hofn,IS,64.2539,-15.2082,49.55,91,88,4.43,overcast clouds
286,Tsumeb,NA,-19.2333,17.7167,61.77,14,0,5.57,clear sky
287,Sultanpur,IN,26.2667,82.0667,93.49,52,46,13.33,scattered clouds
288,Kemijarvi,FI,66.7131,27.4306,52.14,73,70,9.46,broken clouds
289,Makinsk,KZ,52.6292,70.4169,77.85,45,0,6.51,clear sky
290,Rurrenabaque,BO,-14.4413,-67.5278,62.1,84,0,1.68,clear sky
291,Miranda,CO,3.2499,-76.2281,68.13,86,54,3.96,broken clouds
292,Witney,GB,51.7836,-1.4854,65.44,70,0,5.75,clear sky
293,Kroonstad,ZA,-27.6504,27.2349,53.44,35,21,5.61,few clouds
294,Bakel,SN,14.905,-12.4568,79.43,81,88,10.42,overcast clouds
295,Umm Lajj,SA,25.0213,37.2685,90.95,60,30,10.83,scattered clouds
296,Saint-Pierre,RE,-21.3393,55.4781,73.08,66,20,3.44,few clouds
297,Tiznit,MA,29.5833,-9.5,75.42,51,18,0.36,few clouds
298,Manjeshwar,IN,12.7194,74.8861,85.15,78,65,12.19,broken clouds
299,Novi Iskar,BG,42.8,23.35,66.83,88,75,3.44,light rain
300,Brae,GB,60.3964,-1.353,52.72,79,100,1.43,overcast clouds
301,Turayf,SA,31.6725,38.6637,81.66,21,0,11.43,clear sky
302,Soloneshnoye,RU,51.6544,84.3197,72.52,57,47,0.76,scattered clouds
303,Homa Bay,KE,-0.5273,34.4571,70.61,55,100,1.16,overcast clouds
304,Obo,CF,5.3998,26.4869,69.89,97,100,4.41,overcast clouds
305,Bimbo,CF,4.2567,18.4158,71.53,94,100,2.26,overcast clouds
306,Sukhoy Log,RU,56.9094,62.0296,70.38,43,15,13.69,few clouds
307,Road Town,VG,18.4167,-64.6167,81.19,74,89,17.56,overcast clouds
308,Vagur,FO,61.4732,-6.8119,51.75,90,90,13.94,overcast clouds
309,Aleksandrovka,UA,46.8383,32.7612,79.23,52,51,17.49,broken clouds
310,Otwock,PL,52.1058,21.2613,72.14,75,42,6.31,scattered clouds
311,Primorsk,UA,46.7348,36.3443,81.41,66,19,11.18,few clouds
312,Pangody,RU,65.85,74.4859,55.29,71,100,17.31,light rain
313,Ostrovnoy,RU,68.0531,39.5131,54.88,71,30,24.96,scattered clouds
314,Golfito,CR,8.639,-83.166,73.94,97,100,2.91,overcast clouds
315,Kutum,SD,14.2,24.6667,71.83,82,100,8.12,light rain
316,Arraial Do Cabo,BR,-22.9661,-42.0278,67.69,72,5,15.55,clear sky
317,Lichinga,MZ,-13.3128,35.2406,63.0,52,4,7.87,clear sky
318,Barra Do Corda,BR,-5.5,-45.25,72.9,62,36,3.56,scattered clouds
319,Eydhafushi,MV,5.1033,73.0708,81.36,81,67,8.7,broken clouds
320,Hudiksvall,SE,61.729,17.1036,63.93,64,34,8.97,scattered clouds
321,Cervo,ES,43.6702,-7.4101,60.96,90,5,5.41,clear sky
322,Sohbatpur,PK,28.5202,68.5434,99.32,38,31,20.15,scattered clouds
323,Barranca,PE,-10.75,-77.7667,60.21,85,41,7.2,scattered clouds
324,Acajutiba,BR,-11.6622,-38.0172,66.2,98,27,3.85,scattered clouds
325,Vestmanna,FO,62.1564,-7.1664,50.92,93,100,5.75,overcast clouds
326,Eatonton,US,33.3268,-83.3885,73.38,90,35,3.58,scattered clouds
327,San Borja,BO,-14.8167,-66.85,61.74,76,0,1.32,clear sky
328,Raahe,FI,64.6833,24.4833,59.09,67,82,18.66,broken clouds
329,San Lawrenz,MT,36.0553,14.204,78.21,86,2,2.66,clear sky
330,Borsad,IN,22.4167,72.9,80.64,75,95,20.0,overcast clouds
331,Montepuez,MZ,-13.1256,38.9997,70.81,56,79,9.75,broken clouds
332,Grindavik,IS,63.8424,-22.4338,48.67,100,75,10.36,broken clouds
333,Bajil,YE,15.0584,43.2851,86.49,69,79,12.19,broken clouds
334,Boa Vista,BR,2.8197,-60.6733,78.78,83,40,3.44,scattered clouds
335,Gari,RU,59.4307,62.3497,67.19,52,77,11.5,broken clouds
336,Sanford,US,28.8006,-81.2731,79.99,91,0,6.91,clear sky
337,Araouane,ML,18.9048,-3.5265,92.08,38,16,10.78,few clouds
338,Souillac,MU,-20.5167,57.5167,71.02,62,91,19.13,overcast clouds
339,Ngorongoro,TZ,-3.2397,35.4875,50.88,80,99,8.08,overcast clouds
340,Sinnamary,GF,5.3833,-52.95,76.57,86,77,6.62,broken clouds
341,Uchaly,RU,54.2996,59.4521,64.98,50,3,8.86,clear sky
342,Pereslavl-Zalesskiy,RU,56.7393,38.8563,66.88,58,86,5.91,overcast clouds
343,Nkhotakota,MW,-12.9274,34.2961,72.54,50,51,5.68,broken clouds
344,Nanga Eboko,CM,4.6833,12.3667,68.16,97,100,2.89,overcast clouds
345,Erie,US,42.7667,-78.6664,61.61,85,0,1.74,clear sky
346,Hambantota,LK,6.1241,81.1185,89.94,66,20,12.66,few clouds
